date,usdjpy,eq_price,fx_ret,eq_ret,eq_ret_local,jpy_2y,jpy_10y,us_2y,jpy_2y_change,jpy_10y_change,us_2y_change,vix,diff_compression,yen_vol,jgb_pressure,fragility_pca,fragility_equal,fragility_no_vix,fragility_japan_only,boj_event,boj_shock,boj_tightening_shock,boj_easing_shock,major_tightening_event
2016-05-19,110.0,46.16,-0.5560887660717384,-0.6908490343811469,-0.13476026830940846,-0.226,-0.072,0.89,1.9999999999999991,2.500000000000001,-1.0000000000000009,16.33,2.9999999999999805,0.884335735121557,1.205,0.9315417864648268,0.43376934974314074,0.6781608027069423,0.7423726384879137,0,0.0,0.0,-0.0,0
2016-05-20,110.36,46.48,-0.3267383556668335,0.6908490343811469,1.0175873900479804,-0.236,-0.102,0.89,-0.9999999999999981,-3.0,0.0,15.2,-0.9999999999999787,0.8502731054092546,1.355,0.8478166972128619,0.22954792386336886,0.4569961535573268,0.7705829097801132,0,0.0,0.0,-0.0,0
2016-05-23,109.41,46.28,0.8645455860386342,-0.4312210218179846,-1.2957666078566188,-0.238,-0.097,0.91,-0.20000000000000018,0.49999999999999906,2.0000000000000018,15.82,-2.200000000000024,0.8704147410391444,1.12,0.7259663722404568,0.14015965086177984,0.30975784006743534,0.6577126130502681,0,0.0,0.0,-0.0,0
2016-05-24,109.74,46.62,-0.30116381421310123,0.7319731282135145,1.0331369424266157,-0.239,-0.102,0.92,-0.10000000000000009,-0.49999999999999906,1.0000000000000009,14.42,-1.0999999999999899,0.8723816539455523,0.9899999999999999,0.5676681051058537,0.10144069781266699,0.32148019721090065,0.5763079063858907,0,0.0,0.0,-0.0,0
2016-05-25,110.17,46.96,-0.39106957211441085,0.7266541912230196,1.1177237633374304,-0.234,-0.094,0.92,0.49999999999999767,0.7999999999999994,0.0,13.9,0.49999999999998934,0.8774177356255439,0.8549999999999999,0.46558924103321864,0.11661136824607138,0.3652368767140019,0.4979600276338938,0,0.0,0.0,-0.0,0
2016-05-26,110.07,46.92,0.09081003166730994,-0.08521517345663199,-0.17602520512394193,-0.239,-0.108,0.87,-0.49999999999999767,-1.4,-5.000000000000004,13.43,4.500000000000015,0.5776883650656065,0.85,-0.34840080672978585,-0.030782809170819075,0.18997801046877139,-0.12488551675058081,0,0.0,0.0,-0.0,0
2016-05-27,109.65,46.78,0.38230521714037735,-0.2988262629241678,-0.6811314800645452,-0.24,-0.113,0.9,-0.10000000000000009,-0.5000000000000004,3.0000000000000027,13.12,-3.100000000000014,0.5509629399836379,0.875,-0.521465376959452,-0.4026656242744909,-0.29183876825890465,-0.16369191931050192,0,0.0,0.0,-0.0,0
2016-06-01,109.24,47.12,1.6163068656511292,-0.08485363258388112,-1.7011604982350104,-0.242,-0.111,0.91,-0.30000000000000027,0.10000000000000009,4.0000000000000036,14.2,-1.200000000000001,0.6518608572458566,0.73,-0.27730154637185134,-0.22390989133485545,-0.10236596108153245,-0.05046239992734236,0,0.0,0.0,-0.0,0
2016-06-02,109.01,46.72,0.21076754652371577,-0.8525200823359835,-1.0632876288596993,-0.24,-0.103,0.89,0.20000000000000018,0.8000000000000007,-2.0000000000000018,13.63,2.200000000000024,0.636012277643123,0.77,-0.27182216340011356,-0.09350238837408381,0.09730224373933039,-0.0569237509601829,0,0.0,0.0,-0.0,0
2016-06-03,108.9,46.92,0.10095912013525776,0.42716852653033044,0.3262094063950727,-0.24,-0.108,0.78,0.0,-0.5000000000000004,-10.999999999999998,13.47,10.999999999999988,0.6237278538432152,0.7950000000000002,-0.17463269221180666,0.29254278226821906,0.6192688668291378,-0.06587975536204652,0,0.0,0.0,-0.0,0
2016-06-06,107.13,47.4,1.638697966444802,1.0178204915756162,-0.6208774748691859,-0.251,-0.127,0.8,-1.100000000000001,-1.9000000000000004,2.0000000000000018,13.65,-3.100000000000014,0.718479670099512,0.89,-0.012531936753965908,-0.2066149744181881,-0.05441950376531748,0.19243697742987884,0,0.0,0.0,-0.0,0
2016-06-07,107.65,47.72,-0.48421735359056584,0.6728368528684303,1.1570542064589961,-0.25,-0.127,0.78,0.10000000000000009,0.0,-2.0000000000000018,14.05,2.100000000000013,0.7284782302138006,0.865,0.08574778855687559,0.04304722145699891,0.2603641018180893,0.19666796728337207,0,0.0,0.0,-0.0,0
2016-06-08,107.02,48.0,0.5869490927213228,0.5850413678175848,-0.0019077249037380284,-0.241,-0.117,0.78,0.9000000000000008,0.9999999999999996,0.0,14.08,0.9000000000000119,0.6756443449163635,0.8649999999999999,-0.07704469031946985,-0.06453365105069395,0.11556548930573562,0.0874572220198297,0,0.0,0.0,-0.0,0
2016-06-09,106.43,47.44,0.5528240830205533,-1.1735256218420975,-1.7263497048626508,-0.246,-0.133,0.77,-0.5000000000000004,-1.6,-1.0000000000000009,14.64,0.49999999999998934,0.6478397671985189,0.89,-0.1111623866652081,-0.08404576217179556,0.06421028999402047,0.046420147553921626,0,0.0,0.0,-0.0,0
2016-06-10,106.86,46.6,-0.4032074476671532,-1.7865213557870074,-1.3833139081198542,-0.271,-0.158,0.73,-2.500000000000002,-2.4999999999999996,-4.0000000000000036,17.03,1.5000000000000124,0.6600695291846616,0.9949999999999999,0.1453447005397417,0.08921320450519615,0.18707879511854153,0.1407335939865445,0,0.0,0.0,-0.0,0
2016-06-13,106.06,45.76,0.7514594820641207,-1.8190194060057507,-2.5704788880698715,-0.277,-0.167,0.73,-0.6000000000000005,-0.9000000000000008,0.0,20.97,-0.6000000000000227,0.654183249409386,0.99,0.297616974063933,0.12070586559538518,0.05079068574122735,0.12527898355430533,0,0.0,0.0,-0.0,0
2016-06-14,106.0,45.56,0.05658775969168417,-0.4380208492561266,-0.4946086089478108,-0.278,-0.172,0.74,-0.10000000000000009,-0.49999999999999767,1.0000000000000009,20.5,-1.0999999999999899,0.6534811779145671,1.0150000000000001,0.2854700904130542,0.08975120922664293,0.030784514226861005,0.14026438190983115,0,0.0,0.0,-0.0,0
