,count,mean,std,min,25%,50%,75%,max
fx_ret,2371.0,-0.011015610797637677,0.5847432454184948,-3.143900630531604,-0.2974388065785316,-0.036549708009214754,0.2542527222768154,4.596062513218158
jpy_2y_change,2371.0,0.05626318009278786,1.2625027871925771,-14.499999999999996,-0.5000000000000004,0.0,0.5000000000000004,9.399999999999997
jpy_10y_change,2371.0,0.09447490510333192,1.9495469149333409,-19.299999999999994,-0.5999999999999992,0.0,0.8000000000000007,15.000000000000002
eq_ret,2371.0,0.030202460185201157,1.1002738118301094,-10.31929896983197,-0.5141621339131541,0.05782018085342955,0.606529181368165,7.331980390855364
eq_ret_local,2371.0,0.04121807098283883,1.2619900812708087,-10.923530415428218,-0.6174065594380052,0.06440930563957892,0.741998488869422,6.89482758345501
boj_shock,2371.0,0.011682834247153114,0.3504947591001774,-3.599999999999998,0.0,0.0,0.0,9.399999999999997
boj_tightening_shock,2371.0,0.02378743146351751,0.31518421970063004,0.0,0.0,0.0,0.0,9.399999999999997
fragility_pca,2371.0,0.0,1.2356281255790276,-1.9758518354045735,-0.8919561936184606,-0.283937065124451,0.5435309950546783,6.719430136412387
fragility_equal,2371.0,0.0010430604546132172,0.5928648885416575,-1.2365960902871858,-0.39836554626462606,-0.10992625003028438,0.26172621031499643,4.042206902089357
