horizon,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret_local
0,0.21472765738173485,10.000000000000002,17.432843898587876,5.34082686644183
1,-0.29377087992265044,10.809745327123107,19.48470543614156,5.066851514520925
2,0.4849007094948994,4.361763455503851,9.92109217245652,3.913102584664174
3,3.111735410756686,-2.0863204314271093,-0.9429207200813255,-0.4477478505813848
4,2.7206093523767647,-2.418747790648226,2.57877798578522,-0.7029799663712843
5,1.405240756034065,-2.3946873377183566,6.26948649171974,1.2736976176496233
6,0.8789600812954543,0.8955004783672829,4.290645735453165,0.5407212667556871
7,1.788018832825295,6.726403490998905,8.99673966746709,-1.106423700635755
8,1.2993281268637986,6.290609207823303,11.374908117483635,-0.800927097743747
9,0.2906476532689556,3.400672363525988,12.927839048265145,2.582799177535354
10,0.2170412481858061,1.3565250238131765,10.73067789563221,7.47025818651627
11,-1.7911918859844738,-0.06793651939224349,20.490035223953363,14.723729370649604
12,-3.2339907597922264,9.450774864857385,30.050980075353667,19.114978109303777
13,-2.369760017230769,13.740019292929784,34.09723768404083,18.033701316301002
14,-1.4946159600187323,10.106277657569468,25.62507530592204,17.21847857065706
15,-0.6977609482916391,9.9299450519793,19.858737053298135,4.699194851508741
16,-1.1303685316873362,5.277850808304441,15.46386343605176,6.618828651977417
17,-0.6852548307875089,10.266151686499773,14.869261878725965,7.696275265123964
18,-0.12263280002039079,12.759896901549455,11.417328155396621,6.815630976508348
19,0.9983822614744384,7.136052818615102,0.5702854641722495,6.206099621750214
20,0.6854563115331358,12.85126433280385,8.489383361770924,8.949977067689147
