horizon,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret_local
0,2.098049885152481,10.000000000000009,12.59084190048478,0.7962679817236712
1,1.8050597469073937,11.01073720784096,15.065688975976848,0.09072004322480343
2,3.0305694417825393,11.879999929805198,13.748578437941589,-3.9245416063569705
3,5.313270583339051,4.877840361875668,2.721062677721516,-7.3056086038124715
4,4.435269106023073,5.5080192020342,8.959504096413482,-6.5113023226128846
5,3.9973639271241836,2.988888324832693,6.814795670439926,-5.673758344685678
6,2.968907902224699,4.037372085867496,6.700466962959739,-2.804933325673037
7,2.917470960761637,6.022145687265068,7.85713115115405,-2.40602850765642
8,3.565530280639742,4.86087838121919,5.697052667922278,-3.3319923292771514
9,3.58212337414723,4.389738366760183,5.017092934088375,-1.8595183783990588
10,3.2244753274756146,2.992110037890196,1.805790036968341,-0.38805482170727823
11,3.5079907916493687,4.052421347876312,4.222885797448551,0.4547770926796202
12,3.7275193105911058,5.105671631815376,3.409536261325483,-0.5302957292597799
13,4.1838405994360475,6.611055570200042,4.385151254953783,-0.3732860604213073
14,4.061095409676963,6.050202032040523,5.090167840177731,-1.4097725766596247
15,4.726936914504041,4.4340704159982876,1.559796383285883,-2.1428784711043565
16,4.69513867040477,5.031902192853201,2.2444941642785086,-2.8306743107953283
17,5.1898763119632925,5.8069070015218625,1.170375795842482,-1.586012035373715
18,5.677202538783517,5.761428298558451,0.07755505877882873,-2.5221098446808976
19,5.759245959221114,6.57870918778833,-0.5764103091299749,-1.8530628566072338
20,6.045156713974922,7.192007042442212,-0.738852565482292,-2.6417102624164213
