horizon,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret_local
0,1.8833222277707462,7.105427357601002e-15,-4.842001998103097,-4.544558884718159
1,2.0988306268300443,0.20099188071785257,-4.419016460164713,-4.976131471296122
2,2.54566873228764,7.518236474301347,3.827486265485069,-7.837644191021145
3,2.201535172582365,6.964160793302778,3.6639833978028418,-6.857860753231087
4,1.7146597536463082,7.926766992682426,6.380726110628262,-5.8083223562416
5,2.592123171090119,5.383575662551049,0.5453091787201858,-6.947455962335301
6,2.089947820929245,3.141871607500213,2.4098212275065745,-3.3456545924287244
7,1.129452127936342,-0.704257803733837,-1.1396085163130394,-1.2996048070206652
8,2.2662021537759434,-1.4297308266041133,-5.677855449561357,-2.5310652315334043
9,3.291475720878274,0.9890660032341945,-7.91074611417677,-4.442317555934412
10,3.0074340792898084,1.6355850140770196,-8.924887858663869,-7.858313008223549
11,5.299182677633842,4.120357867268555,-16.26714942650481,-14.268952277969984
12,6.961510070383332,-4.345103233042009,-26.641443814028186,-19.645273838563558
13,6.553600616666817,-7.1289637227297415,-29.712086429087044,-18.40698737672231
14,5.555711369695696,-4.056075625528945,-20.534907465744308,-18.628251147316682
15,5.42469786279568,-5.495874635981013,-18.298940670012254,-6.842073322613098
16,5.825507202092107,-0.24594861545124047,-13.219369271773251,-9.449502962772744
17,5.875131142750801,-4.459244684977911,-13.698886082883483,-9.282287300497678
18,5.7998353388039074,-6.998468602991004,-11.339773096617792,-9.337740821189245
19,4.760863697746675,-0.5573436308267725,-1.1466957733022243,-8.059162478357448
20,5.359700402441787,-5.659257290361639,-9.228235927253216,-11.591687330105568
