horizon,fx_ret,jpy_2y_change,jpy_10y_change,eq_ret
0,-0.3801697131104662,9.711368825377901,13.712187178223125,1.849934857321129
1,0.05811510142336994,0.03028037118608516,-0.6694586303469001,0.22434970885176225
2,0.027418586336152424,0.02461171342754731,0.011238923316964425,-0.018993792597970717
3,-0.0009260904804729471,-0.001365659691314386,-0.008570607749639553,0.0019007369773193054
4,0.00027323116005113085,0.0005061355291377384,0.0009050131946186923,-0.0002880597455427816
5,-2.547844397627827e-05,-3.4478452753325395e-05,-0.0001294725867403146,3.92422934099813e-05
6,4.438526151361033e-06,7.182223304452728e-06,1.6039122722869004e-05,-5.087929818624413e-06
7,-4.961393908244072e-07,-7.556541917891346e-07,-2.2751198848203202e-06,6.833985962038068e-07
8,7.406103869414538e-08,1.175686843712942e-07,2.913905924190052e-07,-9.088980191585862e-08
9,-9.21156867797479e-09,-1.4202517176209462e-08,-3.973091604325685e-08,1.2126039543791309e-08
10,1.2821125827677804e-09,2.0164002551004145e-09,5.218369916737409e-09,-1.6131851817910436e-09
11,-1.6614559034122678e-10,-2.581851538119295e-10,-7.016041220220259e-10,2.1511662351599015e-10
12,2.252889888532117e-11,3.5273547971392816e-11,9.292179525832722e-11,-2.8642428706593392e-11
13,-2.9680771729267974e-12,-4.62520299837621e-12,-1.242543568036325e-11,3.81708618706067e-12
14,3.9821618225133193e-13,6.224326609682862e-13,1.6514706269177282e-12,-5.084123226584136e-13
15,-5.281539094958987e-14,-8.239242621499443e-14,-2.2035151481247794e-13,6.774138541776331e-14
16,7.056855100273651e-15,1.1018963519404679e-14,2.932376563791195e-14,-9.024248362465848e-15
17,-9.402201239794294e-16,-1.4710455076283324e-15,-3.913536161803677e-15,1.2023802092864244e-15
18,1.249000902703301e-16,1.942890293094024e-16,5.273559366969494e-16,-1.6046192152785466e-16
19,-1.734723475976807e-17,-1.3877787807814457e-17,-6.938893903907228e-17,2.168404344971009e-17
20,0.0,1.3877787807814457e-17,1.3877787807814457e-17,-3.0357660829594124e-18
21,0.0,0.0,0.0,4.336808689942018e-19
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
