lag,aic,bic,ssr
1,0.03632063258594878,0.09475754634928221,15594.169646379949
2,0.034006028679767486,0.13143487129958656,15515.887367206135
3,0.0387335157925907,0.17518151231970988,15408.847881925052
4,0.03756316501455532,0.21305757138760423,15312.91969390491
5,0.04441394046120002,0.25898204355476434,15254.04144160419
